"GEO","TIME","INDIC_ED","UNIT","Value","Flag and Footnotes"
"European Union (28 countries)","2006","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.15","e"
"European Union (28 countries)","2006","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.17","e"
"European Union (28 countries)","2006","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.10","e"
"European Union (28 countries)","2006","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.50","e"
"European Union (28 countries)","2007","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.92","e"
"European Union (28 countries)","2007","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.15","e"
"European Union (28 countries)","2007","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.17","e"
"European Union (28 countries)","2007","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.11","e"
"European Union (28 countries)","2007","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.51","e"
"European Union (28 countries)","2008","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.04","e"
"European Union (28 countries)","2008","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.17","e"
"European Union (28 countries)","2008","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.22","e"
"European Union (28 countries)","2008","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.14","e"
"European Union (28 countries)","2008","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.52","e"
"European Union (28 countries)","2009","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.38","e"
"European Union (28 countries)","2009","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.24","e"
"European Union (28 countries)","2009","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.39","e"
"European Union (28 countries)","2009","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.21","e"
"European Union (28 countries)","2009","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.56","e"
"European Union (28 countries)","2010","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.41","e"
"European Union (28 countries)","2010","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.23","e"
"European Union (28 countries)","2010","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.37","e"
"European Union (28 countries)","2010","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.25","e"
"European Union (28 countries)","2010","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.56","e"
"European Union (28 countries)","2011","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.25","e"
"European Union (28 countries)","2011","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.19","e"
"European Union (28 countries)","2011","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.23","e"
"European Union (28 countries)","2011","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.27","e"
"European Union (28 countries)","2011","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.57","e"
"European Union (27 countries)","2002","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.00","e"
"European Union (27 countries)","2002","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.12","e"
"European Union (27 countries)","2002","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.27","e"
"European Union (27 countries)","2002","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.12","e"
"European Union (27 countries)","2002","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.49","e"
"European Union (27 countries)","2003","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.04","e"
"European Union (27 countries)","2003","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.15","e"
"European Union (27 countries)","2003","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.30","e"
"European Union (27 countries)","2003","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.12","e"
"European Union (27 countries)","2003","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.48","e"
"European Union (27 countries)","2004","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.95","e"
"European Union (27 countries)","2004","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.13","e"
"European Union (27 countries)","2004","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.24","e"
"European Union (27 countries)","2004","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.10","e"
"European Union (27 countries)","2004","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.48","e"
"European Union (27 countries)","2005","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.92","e"
"European Union (27 countries)","2005","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.12","e"
"European Union (27 countries)","2005","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.20","e"
"European Union (27 countries)","2005","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.13","e"
"European Union (27 countries)","2005","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.47","e"
"European Union (27 countries)","2006","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.91","e"
"European Union (27 countries)","2006","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.14","e"
"European Union (27 countries)","2006","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.18","e"
"European Union (27 countries)","2006","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.10","e"
"European Union (27 countries)","2006","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.50","e"
"European Union (27 countries)","2007","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.93","e"
"European Union (27 countries)","2007","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.15","e"
"European Union (27 countries)","2007","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.18","e"
"European Union (27 countries)","2007","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.11","e"
"European Union (27 countries)","2007","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.51","e"
"European Union (27 countries)","2008","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.04","e"
"European Union (27 countries)","2008","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.17","e"
"European Union (27 countries)","2008","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.23","e"
"European Union (27 countries)","2008","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.14","e"
"European Union (27 countries)","2008","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.52","e"
"European Union (27 countries)","2009","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.38","e"
"European Union (27 countries)","2009","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.23","e"
"European Union (27 countries)","2009","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.39","e"
"European Union (27 countries)","2009","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.21","e"
"European Union (27 countries)","2009","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.56","e"
"European Union (27 countries)","2010","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.41","e"
"European Union (27 countries)","2010","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.23","e"
"European Union (27 countries)","2010","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.38","e"
"European Union (27 countries)","2010","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.25","e"
"European Union (27 countries)","2010","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.56","e"
"European Union (27 countries)","2011","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.25","e"
"European Union (27 countries)","2011","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.19","e"
"European Union (27 countries)","2011","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.24","e"
"European Union (27 countries)","2011","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.27","e"
"European Union (27 countries)","2011","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.57","e"
"European Union (25 countries)","2002","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.03","e"
"European Union (25 countries)","2002","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage",":","u"
"European Union (25 countries)","2002","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage",":","u"
"European Union (25 countries)","2002","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage",":","u"
"European Union (25 countries)","2002","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage",":","u"
"European Union (25 countries)","2003","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.06","e"
"European Union (25 countries)","2003","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage",":","u"
"European Union (25 countries)","2003","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage",":","u"
"European Union (25 countries)","2003","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage",":","u"
"European Union (25 countries)","2003","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage",":","u"
"European Union (25 countries)","2004","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.98","e"
"European Union (25 countries)","2004","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage",":","u"
"European Union (25 countries)","2004","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage",":","u"
"European Union (25 countries)","2004","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage",":","u"
"European Union (25 countries)","2004","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage",":","u"
"European Union (25 countries)","2005","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.95","e"
"European Union (25 countries)","2005","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage",":","u"
"European Union (25 countries)","2005","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage",":","u"
"European Union (25 countries)","2005","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage",":","u"
"European Union (25 countries)","2005","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage",":","u"
"European Union (25 countries)","2006","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.93","e"
"European Union (25 countries)","2006","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.15","e"
"European Union (25 countries)","2006","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.19","e"
"European Union (25 countries)","2006","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.10","e"
"European Union (25 countries)","2006","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.50","e"
"European Union (25 countries)","2007","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.95","e"
"European Union (25 countries)","2007","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.15","e"
"European Union (25 countries)","2007","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.19","e"
"European Union (25 countries)","2007","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.11","e"
"European Union (25 countries)","2007","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.50","e"
"European Union (25 countries)","2008","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.06","e"
"European Union (25 countries)","2008","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.18","e"
"European Union (25 countries)","2008","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.24","e"
"European Union (25 countries)","2008","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.14","e"
"European Union (25 countries)","2008","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.51","e"
"European Union (25 countries)","2009","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.41","e"
"European Union (25 countries)","2009","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.25","e"
"European Union (25 countries)","2009","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.41","e"
"European Union (25 countries)","2009","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.21","e"
"European Union (25 countries)","2009","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.55","e"
"European Union (25 countries)","2010","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.46","e"
"European Union (25 countries)","2010","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.25","e"
"European Union (25 countries)","2010","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.41","e"
"European Union (25 countries)","2010","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.26","e"
"European Union (25 countries)","2010","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.55","e"
"European Union (25 countries)","2011","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.31","e"
"European Union (25 countries)","2011","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.21","e"
"European Union (25 countries)","2011","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.27","e"
"European Union (25 countries)","2011","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.28","e"
"European Union (25 countries)","2011","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.56","e"
"Euro area (18 countries)","2002","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.87","e"
"Euro area (18 countries)","2002","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.04","e"
"Euro area (18 countries)","2002","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.26","e"
"Euro area (18 countries)","2002","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.09","e"
"Euro area (18 countries)","2002","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.47","e"
"Euro area (18 countries)","2003","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.89","e"
"Euro area (18 countries)","2003","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.05","e"
"Euro area (18 countries)","2003","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.27","e"
"Euro area (18 countries)","2003","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.09","e"
"Euro area (18 countries)","2003","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.48","e"
"Euro area (18 countries)","2004","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.80","e"
"Euro area (18 countries)","2004","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.04","e"
"Euro area (18 countries)","2004","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.20","e"
"Euro area (18 countries)","2004","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.09","e"
"Euro area (18 countries)","2004","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.48","e"
"Euro area (18 countries)","2005","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.72","e"
"Euro area (18 countries)","2005","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.01","e"
"Euro area (18 countries)","2005","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.16","e"
"Euro area (18 countries)","2005","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.08","e"
"Euro area (18 countries)","2005","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.47","e"
"Euro area (18 countries)","2006","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.69","e"
"Euro area (18 countries)","2006","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.02","e"
"Euro area (18 countries)","2006","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.13","e"
"Euro area (18 countries)","2006","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.07","e"
"Euro area (18 countries)","2006","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.49","e"
"Euro area (18 countries)","2007","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.79","e"
"Euro area (18 countries)","2007","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.03","e"
"Euro area (18 countries)","2007","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.15","e"
"Euro area (18 countries)","2007","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.12","e"
"Euro area (18 countries)","2007","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.51","e"
"Euro area (18 countries)","2008","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.94","e"
"Euro area (18 countries)","2008","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.06","e"
"Euro area (18 countries)","2008","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.20","e"
"Euro area (18 countries)","2008","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.17","e"
"Euro area (18 countries)","2008","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.53","e"
"Euro area (18 countries)","2009","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.31","e"
"Euro area (18 countries)","2009","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.12","e"
"Euro area (18 countries)","2009","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.37","e"
"Euro area (18 countries)","2009","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.26","e"
"Euro area (18 countries)","2009","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.58","e"
"Euro area (18 countries)","2010","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.28","e"
"Euro area (18 countries)","2010","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.10","e"
"Euro area (18 countries)","2010","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.34","e"
"Euro area (18 countries)","2010","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.28","e"
"Euro area (18 countries)","2010","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.57","e"
"Euro area (18 countries)","2011","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.15","e"
"Euro area (18 countries)","2011","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.07","e"
"Euro area (18 countries)","2011","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.26","e"
"Euro area (18 countries)","2011","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.27","e"
"Euro area (18 countries)","2011","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.56","e"
"Euro area (17 countries)","2002","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.86","e"
"Euro area (17 countries)","2002","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.04","e"
"Euro area (17 countries)","2002","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.26","e"
"Euro area (17 countries)","2002","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.09","e"
"Euro area (17 countries)","2002","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.47","e"
"Euro area (17 countries)","2003","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.89","e"
"Euro area (17 countries)","2003","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.05","e"
"Euro area (17 countries)","2003","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.27","e"
"Euro area (17 countries)","2003","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.09","e"
"Euro area (17 countries)","2003","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.48","e"
"Euro area (17 countries)","2004","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.80","e"
"Euro area (17 countries)","2004","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.04","e"
"Euro area (17 countries)","2004","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.20","e"
"Euro area (17 countries)","2004","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.09","e"
"Euro area (17 countries)","2004","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.48","e"
"Euro area (17 countries)","2005","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.72","e"
"Euro area (17 countries)","2005","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.01","e"
"Euro area (17 countries)","2005","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.16","e"
"Euro area (17 countries)","2005","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.08","e"
"Euro area (17 countries)","2005","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.47","e"
"Euro area (17 countries)","2006","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.69","e"
"Euro area (17 countries)","2006","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.02","e"
"Euro area (17 countries)","2006","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.13","e"
"Euro area (17 countries)","2006","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.07","e"
"Euro area (17 countries)","2006","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.49","e"
"Euro area (17 countries)","2007","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.79","e"
"Euro area (17 countries)","2007","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.03","e"
"Euro area (17 countries)","2007","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.15","e"
"Euro area (17 countries)","2007","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.12","e"
"Euro area (17 countries)","2007","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.51","e"
"Euro area (17 countries)","2008","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.94","e"
"Euro area (17 countries)","2008","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.05","e"
"Euro area (17 countries)","2008","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.20","e"
"Euro area (17 countries)","2008","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.17","e"
